user_id,user_type,display_name,link,reputation
1240268,registered,Andy Hayden,http://stackoverflow.com/users/1240268/andy-hayden,89921
1560238,registered,beets,http://stackoverflow.com/users/1560238/beets,636
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936
213216,registered,user7289,http://stackoverflow.com/users/213216/user7289,3427
1642513,registered,ezbentley,http://stackoverflow.com/users/1642513/ezbentley,3154
2006977,registered,yemu,http://stackoverflow.com/users/2006977/yemu,2180
2428549,registered,natsuki_1996,http://stackoverflow.com/users/2428549/natsuki-1996,2012
1661173,registered,tomasz74,http://stackoverflow.com/users/1661173/tomasz74,1774
458429,registered,szli,http://stackoverflow.com/users/458429/szli,1716
245549,registered,Roman,http://stackoverflow.com/users/245549/roman,14334
1505259,registered,marillion,http://stackoverflow.com/users/1505259/marillion,1421
867549,registered,TravisVOX,http://stackoverflow.com/users/867549/travisvox,1246
919872,registered,Zelazny7,http://stackoverflow.com/users/919872/zelazny7,11257
1005409,registered,Muppet,http://stackoverflow.com/users/1005409/muppet,1087
